Iteration,Loss,Accuracy
0,0.688396,0.57
100,0.688396,0.65
200,0.652081,0.63
300,0.652081,0.68
400,0.672149,0.77
500,0.672149,0.69
600,0.612148,0.86
700,0.612148,0.81
800,0.451545,0.85
900,0.451545,0.89
1000,0.541773,0.87
1100,0.541773,0.93
1200,0.38599,0.9
1300,0.38599,0.95
1400,0.448885,0.93
1500,0.448885,0.93
1600,0.344737,0.94
1700,0.344737,0.95
1800,0.309505,0.94
1900,0.309505,0.96
2000,0.253888,0.91
2100,0.253888,0.98
2200,0.243792,0.97
2300,0.243792,0.97
2400,0.243349,0.94
2500,0.243349,0.98
2600,0.153736,0.98
2700,0.153736,0.97
2800,0.241185,0.99
2900,0.241185,0.98
3000,0.165122,0.96
3100,0.165122,0.98
3200,0.153046,0.98
3300,0.153046,0.97
3400,0.158488,0.96
3500,0.158488,0.97
3600,0.167283,1.0
3700,0.167283,0.99
3800,0.116589,1.0
3900,0.116589,1.0
4000,0.180634,1.0
4100,0.180634,1.0
4200,0.0774595,1.0
4300,0.0774595,0.99
4400,0.0852278,1.0
4500,0.0852278,0.99
4600,0.104203,1.0
4700,0.104203,1.0
4800,0.124601,1.0
4900,0.124601,1.0
5000,0.0779324,1.0
5100,0.0779324,1.0
5200,0.0557623,1.0
5300,0.0557623,1.0
5400,0.0695816,1.0
5500,0.0695816,1.0
5600,0.0522641,1.0
5700,0.0522641,1.0
5800,0.0553056,1.0
5900,0.0553056,1.0
6000,0.0885293,1.0
6100,0.0885293,1.0
6200,0.0459883,1.0
6300,0.0459883,1.0
6400,0.0498009,1.0
6500,0.0498009,1.0
6600,0.070275,1.0
6700,0.070275,1.0
6800,0.0845058,1.0
6900,0.0845058,1.0
7000,0.0833981,1.0
7100,0.0833981,1.0
7200,0.0123267,1.0
7300,0.0123267,1.0
7400,0.0376308,1.0
7500,0.0376308,1.0
7600,0.0230416,1.0
7700,0.0230416,1.0
7800,0.0183403,1.0
7900,0.0183403,1.0
8000,0.0143031,1.0
8100,0.0143031,1.0
8200,0.015792,1.0
8300,0.015792,1.0
8400,0.012816,1.0
8500,0.012816,1.0
8600,0.0346872,1.0
8700,0.0346872,1.0
8800,0.0123414,1.0
8900,0.0123414,1.0
9000,0.0265,1.0
9100,0.0265,1.0
9200,0.0155657,1.0
9300,0.0155657,1.0
9400,0.00657313,1.0
9500,0.00657313,1.0
9600,0.0120556,1.0
9700,0.0120556,1.0
9800,0.00522404,1.0
9900,0.00522404,1.0
10000,0.0111677,1.0
10100,0.0111677,1.0
10200,0.0159764,1.0
10300,0.0159764,1.0
10400,0.00621848,1.0
10500,0.00621848,1.0
10600,0.0111008,1.0
10700,0.0111008,1.0
10800,0.0104617,1.0
10900,0.0104617,1.0
11000,0.00652103,1.0
11100,0.00652103,1.0
11200,0.00326634,1.0
11300,0.00326634,1.0
11400,0.00201064,1.0
11500,0.00201064,1.0
11600,0.0057175,1.0
11700,0.0057175,1.0
11800,0.00416465,1.0
11900,0.00416465,1.0
12000,0.00393077,1.0
12100,0.00393077,1.0
12200,0.00208505,1.0
12300,0.00208505,1.0
12400,0.00208912,1.0
12500,0.00208912,1.0
12600,0.00327072,1.0
12700,0.00327072,1.0
12800,0.00329973,1.0
12900,0.00329973,1.0
13000,0.00248612,1.0
13100,0.00248612,1.0
13200,0.00207723,1.0
13300,0.00207723,1.0
13400,0.00267445,1.0
13500,0.00267445,1.0
13600,0.00424952,1.0
13700,0.00424952,1.0
13800,0.0033112,1.0
13900,0.0033112,1.0
14000,0.00289281,1.0
14100,0.00289281,1.0
14200,0.00422354,1.0
14300,0.00422354,1.0
14400,0.00134469,1.0
14500,0.00134469,1.0
14600,0.00205464,1.0
14700,0.00205464,1.0
14800,0.00433748,1.0
14900,0.00433748,1.0
15000,0.00276956,1.0
15100,0.00276956,1.0
15200,0.00270242,1.0
15300,0.00270242,1.0
15400,0.00405251,1.0
15500,0.00405251,1.0
15600,0.003576,1.0
15700,0.003576,1.0
15800,0.0016648,1.0
15900,0.0016648,1.0
16000,0.00566333,1.0
16100,0.00566333,1.0
16200,0.00307488,1.0
16300,0.00307488,1.0
16400,0.0019391,1.0
16500,0.0019391,1.0
16600,0.00181,1.0
16700,0.00181,1.0
16800,0.00199331,1.0
16900,0.00199331,1.0
17000,0.00481247,1.0
17100,0.00481247,1.0
17200,0.00203829,1.0
17300,0.00203829,1.0
17400,0.00208586,1.0
17500,0.00208586,1.0
17600,0.00102728,1.0
17700,0.00102728,1.0
17800,0.00322801,1.0
17900,0.00322801,1.0
18000,0.00309282,1.0
